"bluestock_fintech_—_nifty_100__|__balance_sheet__|__1,312_records",year_label,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8,unnamed:_9,unnamed:_10,unnamed:_11,unnamed:_12,fiscal_year
260.0,ASIANPAINT,0.0,96.0,10034.0,1118.0,4889.0,16138.0,6272.0,140.0,2019.0,7707.0,16138.0,0
261.0,ASIANPAINT,0.0,96.0,12710.0,1093.0,6456.0,20355.0,5859.0,183.0,4737.0,9577.0,20355.0,0
262.0,ASIANPAINT,0.0,96.0,13716.0,1587.0,7560.0,22958.0,5519.0,426.0,3248.0,13765.0,22958.0,0
263.0,ASIANPAINT,0.0,96.0,15896.0,1933.0,7854.0,25779.0,5770.0,1020.0,4262.0,14728.0,25779.0,0
264.0,ASIANPAINT,0.0,96.0,18632.0,2474.0,8698.0,29901.0,7147.0,2698.0,4588.0,15468.0,29901.0,0
265.0,ASIANPAINT,0.0,96.0,17928.0,2516.0,8934.0,29474.0,7879.0,2272.0,3695.0,15629.0,29474.0,0
266.0,ASIANPAINT,0.0,96.0,3288.0,251.0,3149.0,6784.0,2441.0,59.0,296.0,3989.0,6784.0,0
267.0,ASIANPAINT,0.0,96.0,3943.0,249.0,3787.0,8075.0,2562.0,72.0,1424.0,4019.0,8075.0,0
268.0,ASIANPAINT,0.0,96.0,4646.0,418.0,3754.0,8914.0,2660.0,196.0,1588.0,4471.0,8914.0,0
269.0,ASIANPAINT,0.0,96.0,6429.0,323.0,3711.0,10559.0,3416.0,107.0,2712.0,4324.0,10559.0,0
270.0,ASIANPAINT,0.0,96.0,7508.0,560.0,4241.0,12405.0,3304.0,258.0,2652.0,6192.0,12405.0,0
271.0,ASIANPAINT,0.0,96.0,8314.0,533.0,4820.0,13763.0,3732.0,1405.0,2141.0,6485.0,13763.0,0
272.0,ASIANPAINT,0.0,96.0,9375.0,1320.0,5459.0,16249.0,6497.0,210.0,2569.0,6974.0,16249.0,0
273.0,ASIANPAINT,0.0,96.0,10034.0,1118.0,4889.0,16138.0,6272.0,140.0,2019.0,7707.0,16138.0,0
274.0,ASIANPAINT,0.0,96.0,12710.0,1093.0,6456.0,20355.0,5859.0,183.0,4737.0,9577.0,20355.0,0
275.0,ASIANPAINT,0.0,96.0,13716.0,1587.0,7560.0,22958.0,5519.0,426.0,3248.0,13765.0,22958.0,0
276.0,ASIANPAINT,0.0,96.0,15896.0,1933.0,7854.0,25779.0,5770.0,1020.0,4262.0,14728.0,25779.0,0
277.0,ASIANPAINT,0.0,96.0,18632.0,2474.0,8698.0,29901.0,7147.0,2698.0,4588.0,15468.0,29901.0,0
278.0,ASIANPAINT,0.0,96.0,17928.0,2516.0,8934.0,29474.0,7879.0,2272.0,3695.0,15629.0,29474.0,0
279.0,ATGL,0.0,257.0,759.0,1345.0,442.0,2803.0,897.0,102.0,180.0,1624.0,2803.0,0
280.0,ATGL,0.0,110.0,992.0,394.0,552.0,2048.0,980.0,190.0,176.0,701.0,2048.0,0
281.0,ATGL,0.0,110.0,1361.0,428.0,577.0,2476.0,1198.0,342.0,282.0,655.0,2476.0,0
282.0,ATGL,0.0,110.0,1824.0,529.0,741.0,3204.0,1379.0,696.0,417.0,711.0,3204.0,0
283.0,ATGL,0.0,110.0,2306.0,1035.0,964.0,4415.0,1733.0,1171.0,634.0,878.0,4415.0,0
284.0,ATGL,0.0,110.0,2831.0,1422.0,1282.0,5645.0,2335.0,1619.0,682.0,1010.0,5645.0,0
285.0,ATGL,0.0,110.0,3470.0,1557.0,1454.0,6592.0,3174.0,1502.0,706.0,1209.0,6592.0,0
286.0,ATGL,0.0,110.0,3801.0,1457.0,1474.0,6842.0,3421.0,1527.0,922.0,974.0,6842.0,0
287.0,AXISBANK,0.0,468.0,32690.0,296254.0,11145.0,340558.0,2245.0,142.0,113378.0,224792.0,340558.0,0
288.0,AXISBANK,0.0,470.0,37926.0,333280.0,14674.0,386350.0,2346.0,102.0,113093.0,270810.0,386350.0,0
289.0,AXISBANK,0.0,474.0,44475.0,406638.0,15656.0,467243.0,2447.0,105.0,118527.0,346164.0,467243.0,0
290.0,AXISBANK,0.0,477.0,53082.0,472150.0,20678.0,546387.0,3358.0,216.0,131399.0,411414.0,546387.0,0
291.0,AXISBANK,0.0,479.0,55901.0,527437.0,27644.0,611462.0,3518.0,292.0,129018.0,478633.0,611462.0,0
292.0,AXISBANK,0.0,513.0,63694.0,611425.0,28071.0,703703.0,3697.0,352.0,153037.0,546618.0,703703.0,0
