"bluestock_fintech_—_nifty_100__|__cash_flow__|__1,187_records",year_label,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,fiscal_year
231.0,BAJAJ-AUTO,0.0,6558.0,-72.0,-6167.0,319.0,0
232.0,BAJAJFINSV,0.0,-6922.0,2953.0,4592.0,623.0,0
233.0,BAJAJFINSV,0.0,-9807.0,3764.0,6521.0,478.0,0
234.0,BAJAJFINSV,0.0,-10731.0,3709.0,6839.0,-183.0,0
235.0,BAJAJFINSV,0.0,-9795.0,-886.0,11602.0,921.0,0
236.0,BAJAJFINSV,0.0,-10922.0,151.0,12513.0,1742.0,0
237.0,BAJAJFINSV,0.0,-19580.0,-922.0,19590.0,-911.0,0
238.0,BAJAJFINSV,0.0,-27076.0,-6903.0,34535.0,555.0,0
239.0,BAJAJFINSV,0.0,-23369.0,-9948.0,34479.0,1162.0,0
240.0,BAJAJFINSV,0.0,4547.0,-3684.0,1687.0,2551.0,0
241.0,BAJAJFINSV,0.0,-33670.0,1445.0,32326.0,101.0,0
242.0,BAJAJFINSV,0.0,-39480.0,-13945.0,51016.0,-2409.0,0
243.0,BAJAJFINSV,0.0,-68674.0,-10960.0,82709.0,3075.0,0
244.0,BAJAJHLDNG,0.0,473.0,-369.0,-332.0,-228.0,0
245.0,BAJAJHLDNG,0.0,872.0,-519.0,-326.0,27.0,0
246.0,BAJAJHLDNG,0.0,796.0,-464.0,-391.0,-59.0,0
247.0,BAJAJHLDNG,0.0,1147.0,1019.0,-761.0,1406.0,0
248.0,BAJAJHLDNG,0.0,-923.0,-372.0,-110.0,-1406.0,0
249.0,BAJAJHLDNG,0.0,1631.0,-1123.0,-434.0,74.0,0
250.0,BAJAJHLDNG,0.0,628.0,-163.0,-536.0,-72.0,0
251.0,BAJAJHLDNG,0.0,1920.0,-800.0,-1028.0,92.0,0
252.0,BAJAJHLDNG,0.0,272.0,-308.0,-37.0,-73.0,0
253.0,BAJAJHLDNG,0.0,1610.0,-151.0,-1460.0,-1.0,0
254.0,BAJAJHLDNG,0.0,1728.0,-137.0,-1587.0,4.0,0
255.0,BAJAJHLDNG,0.0,1941.0,-472.0,-1455.0,14.0,0
256.0,BAJFINANCE,0.0,-7064.0,-360.0,6867.0,-557.0,0
257.0,BAJFINANCE,0.0,-9870.0,-687.0,11656.0,1100.0,0
258.0,BAJFINANCE,0.0,-10439.0,-3047.0,12513.0,-972.0,0
259.0,BAJFINANCE,0.0,-20566.0,1075.0,19503.0,13.0,0
260.0,BAJFINANCE,0.0,-29062.0,-5379.0,34449.0,9.0,0
261.0,BAJFINANCE,0.0,-24412.0,-8758.0,34167.0,998.0,0
262.0,BAJFINANCE,0.0,-807.0,-429.0,1741.0,505.0,0
