"bluestock_fintech_—_nifty_100__|__profit_&_loss__|__1,276_records",year_label,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8,unnamed:_9,unnamed:_10,unnamed:_11,unnamed:_12,unnamed:_13,unnamed:_14,fiscal_year
154.0,ADANIPOWER,0.0,26221.0,17533.0,8688.0,33.0,1909.0,5106.0,3202.0,2289.0,45.0,1270.0,3.0,0.0,0
155.0,ADANIPOWER,0.0,27711.0,17830.0,9881.0,36.0,3908.0,4095.0,3118.0,6577.0,25.0,4912.0,13.0,0.0,0
156.0,ADANIPOWER,0.0,38773.0,28677.0,10096.0,26.0,4216.0,3334.0,3304.0,7675.0,-40.0,10727.0,28.0,0.0,0
157.0,ADANIPOWER,0.0,50351.0,32124.0,18228.0,36.0,9883.0,3388.0,3931.0,20792.0,0.0,20829.0,54.0,0.0,0
158.0,ADANIPOWER,0.0,54650.0,33685.0,20965.0,38.0,2124.0,3235.0,4046.0,15808.0,0.0,12686.0,33.0,0.0,0
159.0,AMBUJACEM,0.0,9749.0,7276.0,2473.0,25.0,69.0,78.0,569.0,1896.0,32.0,1292.0,8.0,43.0,0
160.0,AMBUJACEM,0.0,9161.0,7492.0,1669.0,18.0,390.0,67.0,494.0,1498.0,15.0,1278.0,8.0,44.0,0
161.0,AMBUJACEM,0.0,9955.0,8022.0,1934.0,19.0,419.0,66.0,513.0,1774.0,16.0,1487.0,10.0,46.0,0
162.0,AMBUJACEM,0.0,9437.0,7895.0,1542.0,16.0,353.0,92.0,630.0,1173.0,31.0,808.0,5.0,54.0,0
163.0,AMBUJACEM,0.0,20094.0,16913.0,3181.0,16.0,441.0,153.0,1461.0,2008.0,29.0,1434.0,6.0,50.0,0
164.0,AMBUJACEM,0.0,23609.0,19751.0,3858.0,16.0,335.0,206.0,1219.0,2768.0,30.0,1945.0,8.0,47.0,0
165.0,AMBUJACEM,0.0,26041.0,22030.0,4011.0,15.0,232.0,170.0,1154.0,2919.0,-2.0,2973.0,11.0,14.0,0
166.0,AMBUJACEM,0.0,27104.0,22507.0,4597.0,17.0,601.0,170.0,1153.0,3875.0,28.0,2783.0,11.0,14.0,0
167.0,AMBUJACEM,0.0,24516.0,19511.0,5006.0,20.0,288.0,140.0,1162.0,3992.0,22.0,3107.0,12.0,151.0,0
168.0,AMBUJACEM,0.0,28965.0,22755.0,6210.0,21.0,252.0,146.0,1152.0,5164.0,28.0,3711.0,14.0,45.0,0
169.0,AMBUJACEM,0.0,38937.0,33815.0,5122.0,13.0,447.0,195.0,1645.0,3729.0,19.0,3024.0,13.0,19.0,0
170.0,AMBUJACEM,0.0,33160.0,26760.0,6400.0,19.0,1401.0,276.0,1623.0,5901.0,20.0,4738.0,16.0,12.0,0
171.0,AMBUJACEM,0.0,32850.0,27028.0,5822.0,18.0,1230.0,298.0,1899.0,4856.0,0.0,3871.0,13.0,0.0,0
172.0,APOLLOHOSP,0.0,3769.0,3157.0,612.0,16.0,33.0,103.0,142.0,399.0,26.0,303.0,22.0,25.0,0
173.0,APOLLOHOSP,0.0,4357.0,3681.0,676.0,16.0,18.0,119.0,168.0,407.0,25.0,315.0,23.0,25.0,0
174.0,APOLLOHOSP,0.0,5129.0,4392.0,737.0,14.0,47.0,118.0,212.0,455.0,29.0,335.0,24.0,24.0,0
175.0,APOLLOHOSP,0.0,6150.0,5465.0,684.0,11.0,92.0,180.0,264.0,332.0,29.0,235.0,17.0,35.0,0
176.0,APOLLOHOSP,0.0,7256.0,6522.0,734.0,10.0,60.0,257.0,314.0,222.0,41.0,131.0,16.0,38.0,0
177.0,APOLLOHOSP,0.0,8243.0,7442.0,801.0,10.0,24.0,295.0,359.0,171.0,65.0,60.0,8.0,59.0,0
178.0,APOLLOHOSP,0.0,9617.0,8548.0,1070.0,11.0,26.0,327.0,396.0,373.0,47.0,200.0,17.0,35.0,0
179.0,APOLLOHOSP,0.0,11247.0,9656.0,1591.0,14.0,222.0,533.0,620.0,660.0,34.0,432.0,33.0,18.0,0
180.0,APOLLOHOSP,0.0,10560.0,9420.0,1140.0,11.0,103.0,449.0,573.0,221.0,38.0,137.0,10.0,29.0,0
181.0,APOLLOHOSP,0.0,14663.0,12474.0,2189.0,15.0,368.0,379.0,601.0,1578.0,30.0,1108.0,73.0,16.0,0
182.0,APOLLOHOSP,0.0,16612.0,14548.0,2065.0,12.0,75.0,381.0,615.0,1144.0,22.0,844.0,57.0,26.0,0
183.0,APOLLOHOSP,0.0,19059.0,16665.0,2394.0,13.0,105.0,449.0,687.0,1362.0,33.0,935.0,63.0,26.0,0
184.0,APOLLOHOSP,0.0,20469.0,17725.0,2745.0,13.0,158.0,466.0,719.0,1719.0,0.0,1224.0,82.0,0.0,0
185.0,ASIANPAINT,0.0,10504.0,8767.0,1737.0,17.0,114.0,42.0,155.0,1655.0,30.0,1160.0,12.0,40.0,0
186.0,ASIANPAINT,0.0,12220.0,10217.0,2004.0,16.0,124.0,48.0,246.0,1834.0,31.0,1263.0,13.0,42.0,0
187.0,ASIANPAINT,0.0,13615.0,11372.0,2243.0,16.0,142.0,42.0,266.0,2077.0,31.0,1427.0,15.0,42.0,0
188.0,ASIANPAINT,0.0,14271.0,11546.0,2725.0,19.0,213.0,49.0,276.0,2614.0,32.0,1803.0,18.0,41.0,0
189.0,ASIANPAINT,0.0,15062.0,12068.0,2994.0,20.0,338.0,37.0,335.0,2960.0,32.0,2016.0,20.0,51.0,0
190.0,ASIANPAINT,0.0,16825.0,13621.0,3204.0,19.0,336.0,41.0,360.0,3138.0,33.0,2098.0,21.0,41.0,0
191.0,ASIANPAINT,0.0,19240.0,15475.0,3765.0,20.0,274.0,110.0,622.0,3306.0,33.0,2208.0,22.0,47.0,0
